Final Score Set,Total Count
"(114, 128)",20
"(97, 87)",20
"(111, 93)",20
"(100, 124)",20
"(96, 121)",20
"(117, 104)",20
"(102, 89)",20
"(93, 115)",20
"(106, 91)",20
"(122, 112)",20
"(117, 107)",20
"(109, 96)",20
"(109, 93)",20
"(104, 121)",20
"(104, 122)",20
"(116, 127)",20
"(107, 126)",20
"(88, 109)",19
"(86, 110)",19
"(91, 85)",19
"(81, 94)",19
"(81, 87)",19
"(114, 101)",19
"(113, 126)",19
"(88, 106)",19
"(115, 103)",19
"(105, 90)",19
"(121, 112)",19
"(98, 120)",19
"(102, 88)",19
"(123, 111)",19
"(90, 115)",19
"(119, 117)",19
"(80, 96)",19
"(108, 122)",19
"(87, 85)",19
"(88, 83)",19
"(121, 125)",19
"(102, 120)",19
"(82, 85)",19
"(109, 122)",19
"(89, 110)",19
"(90, 86)",19
"(120, 109)",19
"(110, 97)",19
"(87, 80)",19
"(117, 125)",19
"(85, 105)",19
"(115, 114)",19
"(117, 127)",19
"(82, 100)",19
"(82, 99)",19
"(115, 116)",19
"(96, 117)",19
"(116, 106)",19
"(82, 93)",19
"(93, 84)",19
"(84, 104)",19
"(118, 115)",19
"(83, 86)",19
"(126, 121)",19
"(92, 117)",19
"(118, 117)",19
"(115, 129)",19
"(117, 124)",19
"(86, 87)",19
"(109, 126)",18
"(106, 125)",18
"(126, 117)",18
"(84, 89)",18
"(125, 120)",18
"(95, 120)",18
"(96, 84)",18
"(123, 119)",18
"(110, 92)",18
"(112, 96)",18
"(119, 125)",18
"(119, 126)",18
"(112, 95)",18
"(79, 95)",18
"(95, 84)",18
"(110, 95)",18
"(87, 107)",18
"(111, 96)",18
"(87, 109)",18
"(87, 110)",18
"(120, 105)",18
"(85, 84)",18
"(116, 126)",18
"(120, 110)",18
"(117, 126)",18
"(122, 111)",18
"(109, 91)",18
"(113, 125)",18
"(105, 123)",18
"(97, 119)",18
"(81, 89)",18
"(82, 102)",18
"(104, 87)",18
"(86, 108)",18
"(107, 93)",18
"(114, 97)",18
"(115, 100)",18
"(86, 84)",18
"(106, 126)",18
"(93, 117)",18
"(98, 118)",18
"(118, 116)",18
"(84, 105)",18
"(91, 114)",18
"(124, 115)",18
"(124, 116)",18
"(121, 118)",18
"(96, 123)",18
"(107, 94)",18
"(103, 124)",17
"(104, 88)",17
"(129, 121)",17
"(102, 87)",17
"(90, 82)",17
"(88, 108)",17
"(110, 91)",17
"(122, 114)",17
"(109, 129)",17
"(126, 115)",17
"(122, 107)",17
"(106, 90)",17
"(121, 105)",17
"(103, 87)",17
"(88, 79)",17
"(123, 120)",17
"(108, 124)",17
"(122, 113)",17
"(96, 119)",17
"(88, 112)",17
"(90, 111)",17
"(121, 119)",17
"(91, 116)",17
"(122, 115)",17
"(91, 81)",17
"(91, 112)",17
"(82, 103)",17
"(86, 83)",17
"(105, 124)",17
"(114, 96)",17
"(81, 93)",17
"(98, 81)",17
"(97, 116)",17
"(115, 99)",17
"(96, 118)",17
"(124, 120)",17
"(90, 113)",17
"(105, 91)",17
"(113, 97)",17
"(83, 98)",17
"(110, 125)",17
"(88, 114)",17
"(118, 109)",17
"(79, 94)",17
"(79, 101)",17
"(104, 124)",17
"(111, 127)",17
"(112, 128)",17
"(106, 123)",17
"(116, 102)",17
